De Bakermat – Verloskundige Zorg Van Nature,Verloskundige zorg,"Hemmingstraat 13, Zutphen",06-20422129,https://www.debakermatzutphen.nl/
"Verloskundige Praktijk De NieuweLinge, locatie Gorinchem",Verloskundige zorg,"Wolpherenwal 1, Gorinchem",06-23717030,https://denieuwelinge.nl/
AesthetiSie,Medisch specialistische zorg,"Hoofdweg 282, Paterswolde",050-3053381,http://www.aesthetisie.nl/
"Verloskundige Praktijk De NieuweLinge, locatie Leerdam",Verloskundige zorg,"Quirinus de Palmelaan 110, Leerdam",06-23717030,https://denieuwelinge.nl/
Kraamzorg Sylvia Dorrestein-Möhlmann,Kraamzorg,"van Lenneplaan 33, Soest",06-49046624,
Betan Clinics,Organisatie,"Thorbeckegracht 17, Zwolle",050-2113876,https://www.betanclinics.nl/
Broers Optiek & Optometrie,Optometrie,"Dennenlaan 117, Zwanenburg",020-3638394,http://www.broersoptiek.nl
PuurGeluk Kraamzorg,Kraamzorg,"Keizersveld 13 E, Venray",0478-796523,https://puurgelukkraamzorg.nl
"Betan Clinics, locatie Groningen",Medisch specialistische zorg,"Heresingel 12, Groningen",050-2113876,https://www.betanclinics.nl/
Kraamzorg Collectief,Kraamzorg,"Postadres: Schans 6, Neerkant",https://www.kraamzorgcollectief.nl,https://www.kraamzorgcollectief.nl
Kraamzorg De Ervaring,Kraamzorg,"Akkerstraat 3 B, Herpt",06-13204260,https://kraamzorgdeervaring.nl/
Tandprothetische Praktijk Voorburg,Mondzorg,"Koningin Julianalaan 216, Voorburg",070-3691661,https://www.tppvoorburg.nl/
NK2 mondhygiënisten,Mondzorg,"Stationsweg 13, Ede",06-12521964,http://nk2mondzorg.nl
"Verloskundigenpraktijk beWonder, locatie Vriezenveen",Verloskundige zorg,"Krijgerstraat 65, Vriezenveen",06-39456814,https://vpbewonder.nl
Helga Rikken Kraamzorg,Kraamzorg,"Peuzelaar 5, Geertruidenberg",06-41218456,http://www.helgarikkenkraamzorg.nl
Verloskundigenpraktijk Katleen Fissers,Verloskundige zorg,"Marktstraat 73, Wormerveer",06-82328444,https://verloskundigenpraktijk-katleenfissers.nl/
Verloskundige praktijk Castricum,Verloskundige zorg,"Dorpsstraat 102, Castricum",0251-670333,http://www.verloskundigepraktijkcastricum.nl
Puur verloskundigen,Organisatie,"Zuiderweg 27, Schagen",0224-218100,http://www.puurverloskundigen.nl
"Puur verloskundigen, locatie Schagen",Verloskundige zorg,"Zuiderweg 27, Schagen",0224-218100,http://www.puurverloskundigen.nl
Geboortecentrum Baarn,Organisatie,"Nieuwstraat 40, Baarn",035-5414559,https://www.geboortecentrumbaarn.nl/
"Geboortecentrum Baarn, locatie Baarn",Verloskundige zorg,"Nieuwstraat 40, Baarn",035-5414559,https://www.geboortecentrumbaarn.nl/
Mind Your Motion Kaakfysiotherapie en Manuele therapie Amsterdam,Fysiotherapie,"WG-plein 307, Amsterdam",085-2007990,https://www.mindyourmotion.nl/
Elle! Vrouw & Geboortezorg,Organisatie,"Middelweg 11, Nieuwkuijk",073-2032595,https://ellezorg.nl
Fysio KB,Fysiotherapie,"Raadhuisplein 30 A, Nieuwerkerk aan den IJssel",06-22320227,https://fysiokb.nl
Jolanda de Jager Kraamzorg,Kraamzorg,"Laan van Vlaanderen 217, Amsterdam",06-14486783,http://www.jdejagerkraamzorg.nl/
Fitologie,Diëtetiek,"Kinkerstraat 331, Amsterdam",0800-7556020,https://fitologie.nl
"Het persoonlijke dieet, locatie Andijk",Diëtetiek,"Horn 58, Andijk",06-28946434,https://hetpersoonlijkedieet.nl
Verloskundigen Kleverpark,Verloskundige zorg,"Santpoorterstraat 52, Haarlem",023-5263200,https://www.verloskundigenkleverpark.nl
Verloskundigenpraktijk Suus,Verloskundige zorg,"Theresiaplein 1 a17, Borne",074-2020027,http://www.suus.nu/
Fysiotherapie Lammers,Fysiotherapie,"Blasiusstraat 2, Deurne",06-27591179,http://www.fyla.nl
Verloskundigen Praktijk Wijchen en Ravenstein,Organisatie,"Laantje 9 A, Wijchen",024-6414709,https://vpwijchen.nl/
"Verloskundigen Praktijk Wijchen en Ravenstein, locatie Wijchen",Verloskundige zorg,"Laantje 9 A, Wijchen",024-6414709,https://vpwijchen.nl/
Kraamzorg 1 op 1,Organisatie,"Boomgaard 2, Schoonhoven",0182-325576,https://www.kraamzorg1op1.nl/
"Zorggroep Sint Maarten, Maartje Kraamzorg",Kraamzorg,"Lutterstraat 4, Losser",088-0005215,http://www.maartje.nl
"Verloskundigen Amsterdam Zuid, locatie Churchilllaan",Verloskundige zorg,"Churchilllaan 41, Amsterdam",020-6791704,http://www.verloskundigenamsterdamzuid.nl
Vaccinatiecentrum Den Bosch,Overige zorg,"Boschdijkstraat 98, 's-Hertogenbosch",085-9020303,https://www.vaccinatiecentrum.nl/
De Broeder Zorgspecialisten,Wijkverpleging,"Langeweg 2, Woensdrecht",0164-657547,https://debroeder.nl/
SAM Kliniek,Medisch specialistische zorg,"Van der Palmkade 148, Amsterdam",020-2614688,https://www.samkliniek.nl/
Mom's planet,Fysiotherapie,"Planetensingel 71, Alphen aan den Rijn",06-16776314,https://www.momsplanet.nl/
Verloskundigenpraktijk Duiven/Westervoort,Verloskundige zorg,"Achterstehoek 3, Duiven",0316-268130,https://www.verlos.nl
Verloskundigenpraktijk Luna,Verloskundige zorg,"Jan Luykenstraat 77, Haarlem",06-16463000,https://www.lunaverloskundigen.nl
Acacia Fysio Plus Zorg,Organisatie,"Acaciaplein 31, Almelo",0546-812233,https://acaciaplein.nl/
Verloskundigenpraktijk BeWonder,Organisatie,"Akeleistraat 26, Wierden",06-39456814,https://vpbewonder.nl
Praktijk 1991,Fysiotherapie,"Maarten Harpertsz Trompwg 225 D, Dordrecht",06-39871991,https://www.praktijk1991.nl/
Tulp Medisch Centrum,Medisch specialistische zorg,"Laan van Walburg 4, Zwijndrecht",085-4015153,https://tulpmc.nl/
Verloskundigen aandelaak,Organisatie,"Hogebrinkerweg 15 A, Hoevelaken",033-4720981,https://aandelaak.nl/
Kraamzorg Vaassen,Kraamzorg,"Hortensiastraat 2, Vaassen",06-42885700,http://www.kraamzorgvaassen.nl
Het Tand Atelier,Mondzorg,"Frederik Hendrikstraat 24 H, Amsterdam",06-42330617,https://www.tand-atelier.nl/
Verloskundig Centrum Schiedam,Verloskundige zorg,"Malmö 29, Schiedam",www.verloskundigcentrumschiedam.nl,http://www.verloskundigcentrumschiedam.nl
Fysiotherapie Dick Ross,Fysiotherapie,"Thorbeckestraat 11, Elst",06-11339067,https://fysiotherapiedickross.nl/
Guido Bakker Body & Mind fysio,Fysiotherapie,"Middelstegracht 87 N, Leiden",06-12231228,https://www.guidobakker.nu/fysiotherapie
"Zorggroep Charim, Hospice De Wingerd",Hospicezorg,"Koenestraat 128, Amerongen",0343-459613,https://hospicedewingerd.nl
Fysioteam ART,Organisatie,"J.F. Kennedylaan 1, Geldermalsen",0345-577273,http://www.fysioteam-art.nl
Verloskundigen Praktijk Geboortecentrum,Organisatie,"De Genestetstraat 2, Amsterdam",020-6831640,http://www.geboortecentrum.nl
Astrid Limburg Verloskundigen,Verloskundige zorg,"Sarphatipark 97, Amsterdam",020-6710650,http://www.astridlimburg.nl
"Dokter Marsha Wichers, praktijk voor Injectables en Face positivity",Medisch specialistische zorg,"Gabriël Metzustraat 48, Leiden",071-2070032,https://www.marshawichers.nl
Dent-S,Mondzorg,"Rijnstraat 246 H, Amsterdam",020-4710123,http://www.dent-s.nl/
"Verloskundigenpraktijk Oostelijke Eilanden, locatie Kraijenhoffstraat",Verloskundige zorg,"Kraijenhoffstraat 32 B, Amsterdam",020-6384812,http://www.vpoe.nl
Hospice Ede De Olijftak,Hospicezorg,"Platteelhof 9, Ede",0318-689999,http://www.hospice-ede.nl
Praktijk voor Endodontologie Bussum,Mondzorg,"Wilhelminaplantsoen 15, Bussum",035-6989820,http://www.radixz.org
Pallister,Wijkverpleging,"Lange akker 235, Teteringen",0492-236008,http://www.pallister.nl
"Osteo's, locatie Berkel en Rodenrijs",Fysiotherapie,"Nieuwstraat 13, Berkel en Rodenrijs",010-2803350,http://www.osteos.nl
"Endogooi, praktijk voor endodontologie",Mondzorg,"Lammert Majoorlaan 56 A, Bussum",035-7539476,http://www.endogooi.nl
Praktijk voor fysiotherapie Hans van Rijswijk,Fysiotherapie,"Prinsengracht 977, Amsterdam",020-4207361,http://www.fysiohvr.nl
Verloskundigenpraktijk Goedbevallen,Verloskundige zorg,"Lambertus Hortensiuslaan 86-88, Naarden",035-6951194,http://www.goedbevallen.nl
Dr. Liem Clinic,Medisch specialistische zorg,"Slaak 16, Rotterdam",010-2035804,https://www.drliemclinic.nl
Kraamzorg Excellent,Kraamzorg,"Narcissenstraat 62, Volendam",06-57674835,https://www.kraamzorgexcellent.com
"Betan Clinics, locatie Zwolle",Medisch specialistische zorg,"Thorbeckegracht 17, Zwolle",050-2113876,https://www.betanclinics.nl/
Tandprothetische praktijk Léonie van Gool,Mondzorg,"Stationsplein 16, Heerhugowaard",072-5722322,http://www.tppvangool.nl
"Verloskundigen aandelaak, locatie Hoevelaken",Verloskundige zorg,"Hogebrinkerweg 15 A, Hoevelaken",033-4720981,http://www.aandelaak.nl
YorBody Fysiotherapie Amsterdam Nieuw Sloten (Berlaarstraat),Fysiotherapie,"Berlaarstraat 10, Amsterdam",06-22008173,https://yorbodyfysiotherapie.nl/praktijk/nieuw-sloten/
"Zorggroep Noordwest-Veluwe, Hospice Jasmijn",Hospicezorg,"Sonnevancklaan 2, Harderwijk",088-0563000,http://www.znwv.nl
"Praktijk voor verloskunde De Oorsprong, locatie Nijkerk, Henri Nouwenstraat",Verloskundige zorg,"Henri Nouwenstraat 18, Nijkerk",033-7210472,https://www.praktijkdeoorsprong.nl/
Verloskundigenmaatschap In den Bolle Buik,Verloskundige zorg,"Minervaplein 2 C, Rotterdam",010-4221966,http://www.indenbollebuik.nl
Verloskundigenpraktijk Veilig Zwanger Ambacht,Verloskundige zorg,"Tromplaan 49, Hendrik-Ido-Ambacht",06-15143416,https://www.veiligzwangerambacht.nl
Volmondig Logopedie,Logopedie,"Groot-Brittanniestraat 22, Lent",06-24287695,https://www.volmondiglogopedie.nl/
Hippocrates Clinic,Medisch specialistische zorg,"Arent Janszoon Ernststraat 1013, Amsterdam",020-3626801,http://www.hippocratesclinic.nl/
Tandprothetische Praktijk Plasmans,Mondzorg,"Buitenweg 7, Best",0499-830344,http://www.tpp-plasmans.nl/
"Verloskundigenpraktijk beWonder, locatie Wierden",Verloskundige zorg,"Akeleistraat 26, Wierden",06-39456814,https://vpbewonder.nl/
Fysio Hillegom,Fysiotherapie,"De kwekerij 1, Hillegom",0252-525000,https://www.fysiohillegom.nl
Kinderfysio Abcoude,Fysiotherapie,"Kerkgaarde 2, Abcoude",06-11061841,https://kinderfysioabcoude.nl/
Verloskundigenpraktijk Zus en Zwanger,Verloskundige zorg,"Prickwaert 198, Sliedrecht",06-30264675,http://www.zusenzwangersliedrecht.nl
"Stimulus Fysiotherapie, locatie Hoogerheide",Fysiotherapie,"Kooiweg 26, Hoogerheide",0164-760074,https://stimulusboz.nl/
"Euser Care, specialistische en palliatieve zorg",Wijkverpleging,"Schipholweg 103, Leiden",06-12621111,https://eusercare.nl/
Tandheelkundig Centrum 't Veld,Mondzorg,"Dreef 2 A, 't Veld",0226-425325,http://www.tctveld.nl
"Zorggroep Meander, Het Medisch Technisch Handelen Team (MTH-team)",Wijkverpleging,"Kaap de Goede Hoop 1, Veendam",0599-686868,http://www.zgmeander.nl
"Kraamburo PVG, locatie Sint Hubert",Kraamzorg,"Voordijk 22, Sint Hubert",0485-454328,https://www.kraamburopvg.nl/
Roelfsema Fysiotherapie,Fysiotherapie,"Hooikade 9 A, Den Haag",070-2211528,https://roelfsemafysiotherapie.nl/
The Fysio Studio,Fysiotherapie,"Nevelgaarde 4, Nieuwegein",030-6041958,https://www.thefitnessstudio.nl
Verloskundigenpraktijk Partus,Verloskundige zorg,"Carbatinastraat 3, Nijmegen",06-40181644,https://verloskundigenpraktijkpartus.nl/
Verpleegtechnisch team Vrolijk,Wijkverpleging,"Charlotte van Montpensierlaan 2 A, Amstelveen",06-15465674,https://www.vttv.nl
Asselbergs kinderfysiotherapie,Fysiotherapie,"Beekmos 5, Houten",030-2072204,https://www.asselbergskinderfysiotherapie.nl/
Mara Tar Fysiotherapie,Fysiotherapie,"Bezuidenhoutseweg 211, Den Haag",070-3820950,http://www.maratarfysiotherapie.nl
Cosmetique Totale Goes,Huidtherapie,"Voorstad 52, Goes",085-9022080,https://www.cosmetique-totale.com/nl-nl
"Sevagram, Hospice Martinus",Hospicezorg,"Heerenhofweg 7, Mechelen",043-4553255,http://www.sevagram.nl
"Acacia Fysio Plus Zorg, locatie Acaciaplein",Fysiotherapie,"Acaciaplein 31, Almelo",0546-812233,https://acaciaplein.nl/
"Acacia Fysio Plus Zorg, locatie Bellavistastraat",Fysiotherapie,"Bellavistastraat 1, Almelo",0546-812233,https://acaciaplein.nl/
"Acacia Fysio Plus Zorg, locatie Titus Brandsmahof",Fysiotherapie,"Titus Brandsmahof 22, Almelo",0546-812233,https://acaciaplein.nl/
Praktijk Brouwersgracht,Fysiotherapie,"Brouwersgracht 641, Amsterdam",020-6242054,http://www.praktijkbrouwersgracht.nl
CortoClinics,Medisch specialistische zorg,"Beatrixstraat 31, Nederweert",06-51209221,http://www.cortoclinics.com/
Vaccinatiecentrum.nl,Organisatie,"Plantage 8, Wageningen",085-9020303,https://www.vaccinatiecentrum.nl/
Kraamzorg Het Groene Kruis,Kraamzorg,"Queridolaan 5, Groningen",050-3666422,http://www.kraamzorghetgroenekruis.nl
KliniekTwente,Medisch specialistische zorg,"Dr. Poelsstraat 63 B, Oldenzaal",0541-753940,https://kliniektwente.nl/
"RST Zorgverleners, Kraamzorg Goes",Kraamzorg,"Van der Spiegelstraat 2, Goes",0113-396396,http://www.rstzorg.nl
Verloskundigenpraktijk De Vroedschap,Verloskundige zorg,"Quadoelenweg 3, Oosterwolde",06-52631399,http://www.devroedschap.nl
Isis Kraamzorg,Kraamzorg,"K.R. Poststraat 131, Heerenveen",0513-727042,http://www.isiskraamzorg.nl
Kraamzorg Zuid-Gelderland,Kraamzorg,"Hatertseweg 1, Nijmegen",024-3094800,http://www.kraamzorgzuidgelderland.nl
Ster Fysio Coumans,Fysiotherapie,"Clavecymbelstraat 72, Maastricht",043-7112218,http://sterfysio.nl
NOVA Verloskundigenpraktijk Oss,Verloskundige zorg,"Molenstraat 42, Oss",0412-646839,http://www.novaverloskundigen.nl
Aphrodite Clinic,Huidtherapie,"Plein 1944 24, Nijmegen",024-2070206,https://www.aphroditeclinic.nl/
"MediDerma, vestiging Purmerend",Huidtherapie,"Zambezilaan 189, Purmerend",0299-436734,http://www.mediderma.nl
"Klaver Klinieken, hoofdlocatie",Medisch specialistische zorg,"Cereslaan 2 T, Heesch",085-2222233,https://www.klaverklinieken.nl
Verloskundigenpraktijk de Verbinding,Verloskundige zorg,"Rijksstraatweg 56, Haarlem",023-2001925,http://www.verloskundigenpraktijkdeverbinding.nl
Uitgerekend Venray e.o. Praktijk voor Verloskunde,Verloskundige zorg,"Horsterweg 3, Leunen",06-17417550,http://www.uitgerekendvenray.nl
"Veldroos Verloskundigen, locatie Soest",Verloskundige zorg,"Middelwijkstraat 36 B, Soest",06-83653753,https://www.veldroosverloskundigen.com
Verloskundig Centrum Bergweg,Verloskundige zorg,"Bergweg 136, Rotterdam",010-4666026,http://www.verloskundigcentrumbergweg.nl
Verloskundigen Bolwerk,Organisatie,"Staten Bolwerk 8, Haarlem",023–5320434,https://www.verloskundigenbolwerk.nl/
